Sales,Price,Feature,Display,Price - Competitor 1,Price - Competitor 2,Price - Competitor 3,Price - Competitor 4,Price - Competitor 5
20,5.69,0,0,4.07,4.11,5.28,4.69,3.29
26,5.97,0,0,4.07,3.78,5.25,3.95,3.49
41,6.19,0,0,4.06,3.42,5.54,3.33,3.69
34,5.78,0,0,4.07,3.51,4.50,3.97,2.17
32,6.19,0,0,4.07,3.40,5.50,2.76,3.69
33,6.09,0,0,4.07,3.35,6.19,3.40,2.10
565,4.70,1,1,4.07,4.06,5.66,4.50,3.69
48,5.23,0,1,4.07,4.21,6.39,4.16,2.95
524,5.03,1,1,4.07,3.94,4.68,5.18,3.69
37,6.09,0,0,4.07,3.40,6.19,3.67,2.00
109,5.03,0,0,4.07,3.73,5.30,4.62,2.24
46,5.78,0,0,4.06,3.58,5.42,3.82,2.44
146,4.74,1,0,4.06,3.41,5.52,4.14,2.48
76,5.78,0,0,4.07,3.80,5.78,4.70,3.09
279,4.50,1,1,4.07,3.44,4.99,3.95,1.51
24,6.29,0,0,4.07,4.14,6.39,5.56,2.75
38,5.79,1,0,4.06,3.43,5.87,4.67,1.99
42,5.42,1,0,4.06,3.30,5.07,5.06,3.00
26,6.00,0,0,4.06,2.70,5.99,3.31,3.29
34,5.79,0,0,4.07,3.41,5.49,4.86,2.75
30,6.36,0,0,4.07,3.75,6.29,5.44,3.69
75,5.78,0,0,4.07,3.74,4.50,3.74,3.09
44,6.17,0,0,4.07,4.89,6.39,4.00,3.89
16,5.69,0,0,4.06,4.07,5.98,4.13,3.29
45,5.78,0,0,4.07,3.54,4.83,4.10,2.49
62,4.74,1,0,4.07,3.46,5.78,4.48,3.09
71,5.48,0,0,4.06,3.47,4.50,4.18,2.40
80,5.78,0,0,4.07,3.61,4.50,4.20,2.10
62,5.79,0,0,4.07,3.97,5.99,5.13,2.65
22,6.39,0,0,4.06,3.13,6.59,3.62,2.06
50,5.81,0,0,4.07,3.80,5.99,4.00,3.00
65,5.89,0,0,4.07,3.29,5.55,4.58,2.62
34,5.89,0,0,4.07,3.27,5.27,4.58,3.29
62,5.78,0,0,4.07,3.13,5.04,3.27,1.60
25,5.78,0,0,4.06,3.17,4.50,3.61,3.09
42,5.89,0,0,4.08,4.32,5.99,5.21,3.49
33,6.09,0,0,4.08,4.28,6.29,4.89,3.49
102,5.61,1,0,4.08,3.84,6.39,4.52,2.23
36,6.19,0,0,4.08,3.39,6.39,3.67,2.08
42,5.79,0,0,4.08,3.47,5.99,3.63,3.03
210,4.69,1,1,4.08,3.50,5.39,4.49,3.09
57,5.87,0,0,4.05,3.95,5.46,4.25,3.79
100,5.01,1,0,4.08,4.22,5.50,3.75,2.10
84,5.79,0,0,4.08,2.97,5.57,5.09,2.97
14,5.79,0,0,4.05,3.54,5.99,3.85,3.19
82,5.78,0,0,4.05,3.15,4.99,4.05,2.07
23,6.39,0,0,4.08,3.00,6.59,3.73,2.00
21,6.39,0,0,4.08,3.02,6.59,3.67,2.65
56,6.37,0,0,4.08,3.72,6.29,5.44,3.69
40,5.64,0,1,4.08,4.72,6.29,4.44,2.85
19,5.69,0,0,4.05,2.95,5.18,5.03,3.29
33,5.73,0,0,4.05,3.78,6.19,4.70,2.51
62,6.29,0,0,4.05,3.91,5.02,4.41,2.96
159,5.12,1,1,4.08,4.25,6.39,4.26,3.29
89,5.08,1,0,4.05,4.10,5.50,3.67,2.08
138,4.69,1,0,4.05,3.47,5.68,3.82,3.09
305,4.68,1,1,4.05,3.60,5.02,3.91,3.04
38,5.78,0,0,4.08,3.51,4.99,4.09,3.09
65,5.78,0,0,4.08,3.32,4.50,3.49,3.09
75,5.78,0,0,4.08,2.92,4.60,3.61,3.09
83,5.79,0,0,4.08,3.90,5.99,5.05,2.00
31,5.89,0,0,4.05,3.60,5.00,4.00,3.00
52,6.29,0,0,4.08,4.54,5.00,4.24,3.01
147,5.36,1,1,4.08,4.55,6.29,4.52,3.29
99,2.75,0,0,4.05,2.73,2.50,2.36,2.50
